Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm),"Short-Term Customers (24-Hour, 3-Day, and 7-Day Passes, midnight to 11:59pm)"
7/1/2018,45265,120484,274813,4209,211,4420
7/2/2018,58633,130122,275016,2702,241,2943
7/3/2018,54882,113998,275157,2358,199,2557
7/4/2018,48368,136287,275304,5662,250,5912
7/5/2018,59471,133659,275487,3344,264,3608
7/6/2018,49504,111660,275614,2650,189,2839
7/7/2018,60916,173852,275793,7284,349,7633
7/8/2018,60486,171826,275988,6667,310,6977
7/9/2018,70063,153650,276203,3103,283,3386
7/10/2018,72501,147441,276399,2999,227,3226
7/11/2018,73011,163349,276553,3049,170,3219
7/12/2018,74857,161182,276703,3520,231,3751
7/13/2018,72113,156285,276858,3998,294,4292
7/14/2018,62556,157266,277000,7241,334,7575
7/15/2018,52295,132234,277133,5121,248,5369
7/16/2018,67072,146307,277344,3101,278,3379
7/17/2018,48495,97913,277466,1558,129,1687
7/18/2018,75706,169481,277703,3578,247,3825
7/19/2018,78004,141327,277891,3938,280,4218
7/20/2018,74539,136511,278052,4590,275,4865
7/21/2018,53651,114977,278195,6266,309,6575
7/22/2018,44284,87253,278338,4316,244,4560
7/23/2018,53074,88170,278458,2277,152,2429
7/24/2018,69754,117924,278651,2957,162,3119
7/25/2018,42988,66587,278742,1474,124,1598
7/26/2018,71065,122885,278874,3321,252,3573
7/27/2018,49224,82987,278993,2526,251,2777
7/28/2018,61543,129505,279147,7004,361,7365
7/29/2018,63472,137343,279321,7244,250,7494
7/30/2018,69512,123639,279509,3490,333,3823
7/31/2018,76253,134233,279702,3637,246,3883
8/1/2018,64467,106881,279888,2673,185,2858
8/2/2018,69711,118282,280110,2998,217,3215
8/3/2018,61962,105765,280279,3145,247,3392
8/4/2018,51200,104541,280498,5352,198,5550
8/5/2018,58379,122656,280721,6289,309,6598
8/6/2018,65686,112585,280922,3022,281,3303
8/7/2018,64351,106678,281097,2640,201,2841
8/8/2018,70577,120473,281275,2911,267,3178
8/9/2018,71976,124150,281441,3379,238,3617
8/10/2018,69617,123534,281572,4266,280,4546
8/11/2018,36607,69505,281689,2994,141,3135
8/12/2018,59834,125265,281881,6407,281,6688
8/13/2018,44273,70501,281991,1563,82,1645
8/14/2018,63733,107144,282169,2592,211,2803
8/15/2018,73124,128453,282317,3565,266,3831
8/16/2018,70825,123444,282471,3511,276,3787
8/17/2018,63316,109405,282583,3563,232,3795
8/18/2018,57284,125508,282795,6672,351,7023
8/19/2018,45874,86651,282943,3926,155,4081
8/20/2018,67589,118793,283162,3312,224,3536
8/21/2018,75214,132261,283358,3683,257,3940
8/22/2018,72614,125978,283543,3366,225,3591
8/23/2018,73877,130310,283720,3975,331,4306
8/24/2018,72894,132952,283884,4794,320,5114
8/25/2018,64683,140537,284066,7535,345,7880
8/26/2018,60954,132223,284268,6928,302,7230
8/27/2018,67630,116967,284457,3350,242,3592
8/28/2018,66638,110486,284667,2814,150,2964
8/29/2018,65903,107006,284791,2766,171,2937
8/30/2018,67900,113385,284938,3218,164,3382
8/31/2018,58922,97818,285087,3186,180,3366
